run,step,n_gen,fid,jsd
20250707-055456,59999,4,1.8580411912828878,0.6560982781514308
20250707-055456,60999,4,1.9405129426316157,0.6656605022368771
20250707-055456,61999,4,1.941691344472213,0.6647402806666358
20250707-055456,62999,4,2.0494764972403234,0.6653682508048846
20250707-055456,63999,4,1.916484784926977,0.6580528098244942
20250707-055456,64999,4,2.0936148578910245,0.6719946039995323
20250707-055456,65999,4,1.8215747483646414,0.6492504568987785
20250707-055456,66999,4,1.8381692643688468,0.6709240645264223
20250707-055456,67999,4,1.9683753245112223,0.6532961810197027
20250707-055456,68999,4,1.891983481193396,0.6525847559306996
20250707-055456,69999,4,1.8291201915902615,0.6525847559306996
20250707-055456,70999,4,1.866477387345006,0.6712267454042407
20250707-055456,71999,4,1.8771256224021262,0.6647846105429676
20250707-055456,72999,4,2.099782112591137,0.6571472739557118
20250707-055456,73999,4,1.8628515102824987,0.6541127762827768
20250707-055456,74999,4,1.907445838866932,0.6653376506402557
20250707-055456,75999,4,2.0244653523368332,0.663952993646252
20250707-055456,76999,4,1.8331800525176078,0.6719535556049205
20250707-055456,77999,4,1.8206631177135482,0.6597718434419935
20250707-055456,78999,4,1.865471483404774,0.6491443390581344
20250707-055456,79999,4,1.9049456964065323,0.6519878234656471
20250707-055456,80999,4,1.7859766233239414,0.6609269570869184
20250707-055456,81999,4,1.8487188941994446,0.6511121165656619
20250707-055456,82999,4,1.8887939116317805,0.6587681182996421
20250707-055456,83999,4,1.8808117103921629,0.6644404793076497
20250707-055456,84999,4,1.8365968686470957,0.6660218587519248
20250707-055456,85999,4,1.9383863307795144,0.6716875660445015
20250707-055456,86999,4,1.8163078349085282,0.6525847559306996
20250707-055456,87999,4,1.8428574598194545,0.6721076427401245
20250707-055456,88999,4,1.825095311649142,0.6675470172118902
20250707-055456,89999,4,1.8542534908933361,0.6677132231835093
20250707-055456,90999,4,1.9058815861424094,0.6711995883647179
20250707-055456,91999,4,1.8830317737134186,0.6525847559306996
20250707-055456,92999,4,1.8465080874431905,0.6768026373060367
20250707-055456,93999,4,1.9997104997338673,0.6595502452161006
20250707-055456,94999,4,1.9402272499818227,0.6644272416247674
20250707-055456,95999,4,1.8354321283250405,0.6559744359496603
20250707-055456,96999,4,1.9842636456245932,0.664620706030561
20250707-055456,97999,4,1.84567654140772,0.6729157850375925
20250707-055456,98999,4,1.8670997493315862,0.6752384601246153
20250707-055456,99999,4,2.009988016659054,0.6703016930510728
20250707-055456,100999,4,1.8660064025812941,0.6653737213404283
20250707-055456,101999,4,1.8687458296596007,0.6533017938731696
20250707-055456,102999,4,1.8826838465719928,0.665139374800779
20250707-055456,103999,4,1.9267214188632238,0.6741095460952466
